Street Address,Zip Code,List Price,Lat,Long,Tax Ammount,School Dist,List Date
"2188 County Road 152, Georgetown TX 78626",78626,200000,30.690609,-97.634271,18.0,Georgetown ISD,2015-04-15
"2629 County Road 414, Thorndale TX 76577",76577,1000000,30.727271,-97.189437,4580.0,Rockdale ISD,2015-08-10
"0000 FM 973 N FM  973, Coupland TX 78615",78615,700000,30.435099,-97.494213,5226.0,Pflugerville ISD,2015-03-24
"193 Ponderosa Rd., Bastrop TX 78602",78602,400000,30.065097,-97.2325,5843.0,Smithville ISD,2015-04-02
"TRACT 8 A County Road 204, Liberty Hill TX 78642",78642,200000,30.751076,-97.938714,808.0,Liberty Hill ISD,2015-04-14
"1100 County Road 124, Georgetown TX 78626",78626,400000,30.669016,-97.565306,5380.0,Georgetown ISD,2015-07-27
"5534 Mach RD, La Grange TX 78945",78945,600000,29.8235,-96.984745,3817.0,La Grange ISD,2015-04-08
"3404 McGregor LN, Dripping Springs TX 78620",78620,600000,30.257969,-98.153756,6870.0,Dripping Springs ISD,2015-07-17
"129 Guadalupe Hills LN, Seguin TX 78155",78155,300000,29.495394,-97.755033,4921.0,Seguin ISD,2015-04-22
"7200 Spicewood Springs RD, Austin TX 78759",78759,3000000,30.406679,-97.788791,25031.0,Round Rock ISD,2015-05-20
,76549,100000,30.990033,-97.834953,693.0,Florence ISD,2015-04-24
"374 Charcoal RD, Waelder TX 78959",78959,300000,29.695458,-97.26882,1601.0,Smithville ISD,2015-07-20
"1220 Sandy Oaks Ranch RD, Johnson City TX 78636",78636,500000,30.328933,-98.40842,8358.92,Johnson City ISD,2015-04-30
"2810 Fm 1115, Waelder TX 78959",78959,800000,29.746463,-97.260597,4137.0,Flatonia ISD,2015-04-29
"979 Fm 1682, Leesville TX 78122",78122,100000,29.415974,-97.651434,1083.0,Nixon-Smiley Cons ISD,2015-04-29
"0000 Kings CV, Temple TX 76513",76513,300000,31.134653,-97.483545,2581.0,Belton ISD,2015-05-01
"3650 Wayside DR, Wimberley TX 78676",78676,300000,29.979998,-98.164649,3701.0,Wimberley ISD,2015-09-01
"0 (lot 3) Brushy Top TRL, Blanco TX 78606",78606,300000,30.153049,-98.395828,287.62,Blanco ISD,2015-09-01
"tbd County Line Rd, Elgin TX 78621",78621,90000,30.397719,-97.38424,100.0,Elgin ISD,2015-09-06
"672 Shiloh RD, Bastrop TX 78602",78602,400000,30.099165,-97.400318,5950.0,Bastrop ISD,2015-09-11
"1585 Crooked RD, Dale TX 78616",78616,400000,29.997866,-97.584291,3724.43,Lockhart ISD,2015-11-09
"1251 Deer Point, Other TX 77836",77836,200000,30.449781,-96.547637,1800.0,Other,2015-08-21
"1565 Seminole TRL, Dale TX 78616",78616,200000,29.984926,-97.603887,0.0,Lockhart ISD,2015-11-12
"2935 County Road 126, Other TX 78114",78114,80000,29.152,-98.364,1330.0,Other,2015-10-19
"1488 Rocky Creek RD, Other TX 78055",78055,2000000,29.880628,-99.324251,3000.0,Other,2015-10-14
"2150 FM 1351, Other TX 77963",77963,700000,28.640805,-97.492677,500.0,Other,2015-10-13
"6975 U.S. HWY 281, Burnet TX 78611",78611,300000,30.847555,-98.236532,381.0,Burnet ISD,2015-11-01
"11050 Bonham Ranch RD, Dripping Springs TX 78620",78620,600000,30.261737,-98.046317,3638.0,Dripping Springs ISD,2015-10-14
"8301 FM 487, Florence TX 76527",76527,1000000,30.839287,-97.716372,8000.0,Florence ISD,2015-10-16
"6606 CREEK RD, Dripping Springs TX 78620",78620,700000,30.183769,-98.175252,185.0,Dripping Springs ISD,2015-11-24
"3208 FM 532, Other TX 77975",77975,400000,29.567608,-97.093668,1955.0,Other,2015-11-25
"Lot 15035 N Hwy 281, Marble Falls TX 78654",78654,90000,30.623844,-98.265032,2729.0,Marble Falls ISD,2015-12-01
"3117 E 51st ST, Austin TX 78723",78723,600000,30.295081,-97.681703,5462.0,,2015-01-14
"19105 F M Road 969, Webberville TX 78653",78653,300000,30.226789,-97.514389,4797.0,,2015-08-17
"1705 Wood Vista PL, Round Rock TX 78665",78665,300000,30.57124,-97.664949,7901.0,Round Rock ISD,2015-09-01
"5806 Cherry PARK, Austin TX 78745",78745,200000,30.207495,-97.787225,5672.0,Austin ISD,2015-01-20
"1413 Travis Heights BLVD, Austin TX 78704",78704,700000,30.246168,-97.740413,12178.0,Austin ISD,2015-03-11
"2207 Young Place, Other TX 77807",77807,100000,30.626869,-96.381941,1683.0,Other,2015-02-16
"1507 Rockdale CIR, Austin TX 78704",78704,400000,30.232876,-97.779433,6942.0,Austin ISD,2015-02-20
"1807 Prairie Knoll CT, Austin TX 78758",78758,200000,30.396509,-97.701568,4576.0,Austin ISD,2015-02-27
"2710 Burleson RD, Austin TX 78741",78741,300000,30.223493,-97.734973,2856.0,Austin ISD,2015-02-26
"518 Cutty TRL, Lakeway TX 78734",78734,300000,30.370367,-97.971237,4816.0,Lake Travis ISD,2015-03-10
"1205 1/2 Enfield RD, Austin TX 78703",78703,500000,30.279958,-97.754583,7205.0,Austin ISD,2015-06-09
"5301 Indio CIR, Austin TX 78745",78745,300000,30.222829,-97.804159,4737.0,Austin ISD,2015-06-18
"4803 Ribbecke AVE, Austin TX 78721",78721,400000,30.27949,-97.683536,4223.0,Austin ISD,2015-06-24
"3503 Rocky Hollow TRL, Georgetown TX 78628",78628,200000,30.670809,-97.695158,3135.0,Georgetown ISD,2015-07-01
"3305 Dolphin CV, Austin TX 78704",78704,300000,30.235659,-97.776372,2958.0,Austin ISD,2015-03-09
"2006 W Loop, Austin TX 78758",78758,300000,30.372486,-97.71853,4795.0,Austin ISD,2015-04-24
"11439 Ptarmigan DR, Austin TX 78758",78758,200000,30.393153,-97.704853,5067.0,Pflugerville ISD,2015-05-24
"5006 SE Copperbend BLVD S, Austin TX 78744",78744,300000,30.196379,-97.740952,3276.0,Austin ISD,2015-11-16
"1187 & 1191 Creekside ORCH, New Braunfels TX 78130",78130,300000,29.708199,-98.06771,7582.0,Comal ISD,2015-12-28
"8810 Schick RD, Austin TX 78729",78729,500000,30.447933,-97.777944,9256.0,Round Rock ISD,2015-12-09
"104/106 Marvin CV, Hutto TX 78634",78634,200000,30.538393,-97.556596,5103.0,Hutto ISD,2015-12-14
"1902 Dayflower TRCE, Cedar Park TX 78613",78613,300000,30.469493,-97.837663,6160.0,Leander ISD,2015-11-21
"1005 Duncan DR, Cedar Park TX 78613",78613,300000,30.486479,-97.85091,7630.0,Leander ISD,2015-11-16
"4704 Fallenash DR, Austin TX 78725",78725,100000,30.246038,-97.584619,2682.0,Del Valle ISD,2015-11-19
"1002 Bretton Woods DR, Cedar Park TX 78613",78613,400000,30.509456,-97.807432,8441.0,Leander ISD,2015-11-27
"112 Azolar ST, San Marcos TX 78666",78666,200000,29.835107,-97.931559,3000.0,San Marcos ISD,2015-11-20
"12119 Black Angus DR, Austin TX 78727",78727,400000,30.420562,-97.730311,5665.0,Austin ISD,2015-11-27
"5243 Mccormick Mountain DR, Austin TX 78734",78734,1000000,30.408179,-97.91537,11878.0,Lake Travis ISD,2015-12-01
"13516 Gerald Ford ST, Manor TX 78653",78653,200000,30.355205,-97.523444,810.0,Manor ISD,2015-11-27
"9400 Privet DR, Austin TX 78748",78748,300000,30.17258,-97.809624,8074.0,Austin ISD,2015-12-02
"2327 Klattenhoff DR, Austin TX 78728",78728,200000,30.441405,-97.684313,3504.0,Round Rock ISD,2015-11-27
"323 Black Cap RUN, Buda TX 78610",78610,200000,30.038446,-97.814738,4291.0,Hays ISD,2015-11-25
"5125 Mcdade DR, Austin TX 78735",78735,600000,30.255167,-97.831995,11604.0,Austin ISD,2015-11-27
"5313 Daimler DR, Austin TX 78744",78744,200000,30.194727,-97.737456,5168.0,Del Valle ISD,2015-12-07
"305 Cowal DR, Spicewood TX 78669",78669,300000,30.413499,-98.041238,6766.0,Lake Travis ISD,2015-12-04
"506 E Clark ST, Bartlett TX 76511",76511,70000,30.794203,-97.4233,986.0,Bartlett ISD,2015-12-08
"121 Galloway LN, Austin TX 78737",78737,400000,30.185014,-97.984573,0.0,Dripping Springs ISD,2015-12-09
"1701 S Bell BLVD # 102, Cedar Park TX 78613",78613,200000,30.491309,-97.80978,5861.0,Leander ISD,2015-12-12
"3925 Rosa Park LN, Pflugerville TX 78660",78660,300000,30.472699,-97.54935,10176.0,Pflugerville ISD,2015-12-10
"1505 Ridge Rock DR, Round Rock TX 78681",78681,300000,30.495604,-97.699582,5884.0,Round Rock ISD,2015-12-10
"1702 Secluded Willow CV, Pflugerville TX 78660",78660,200000,30.47253,-97.590778,5895.0,Pflugerville ISD,2015-12-10
"2 Forest Mesa, Round Rock TX 78664",78664,400000,30.518621,-97.602622,7682.0,Round Rock ISD,2015-12-11
"131 Serene HOLW, Buda TX 78610",78610,200000,30.089131,-97.857621,5205.0,Hays ISD,2015-12-13
"10906 Keystone BND, Austin TX 78750",78750,500000,30.433123,-97.798601,9225.0,Round Rock ISD,2015-12-10
"21429 Coyote TRL, Lago Vista TX 78645",78645,60000,30.470386,-97.989415,2618.0,Lago Vista ISD,2015-12-11
"351 Paddington DR, Kyle TX 78640",78640,200000,30.008226,-97.836312,4975.0,Hays ISD,2015-12-14
"30 Wildwood DR # 102, Georgetown TX 78633",78633,200000,30.688531,-97.718889,5263.0,Georgetown ISD,2015-12-28
"12166 Metric BLVD # 204, Austin TX 78758",78758,100000,30.406791,-97.697862,2239.0,Austin ISD,2015-12-16
"100 Outfitter DR, Bastrop TX 78602",78602,200000,30.102155,-97.355658,3909.0,Bastrop ISD,2015-12-17
"9550 Savannah Ridge DR # 9, Austin TX 78726",78726,400000,30.43265,-97.833457,10392.0,Leander ISD,2015-12-19
"2702 Vernice LOOP, Killeen TX 76549",76549,100000,31.093037,-97.775368,3464.0,Killeen ISD,2015-12-29
"600 Garner Park DR, Georgetown TX 78628",78628,300000,30.575107,-97.76948,9788.0,Leander ISD,2015-12-22
"1514 Colton LN, Lockhart TX 78644",78644,200000,29.873556,-97.693598,284.0,Lockhart ISD,2015-12-19
"16700 Village Oak LOOP, Austin TX 78717",78717,200000,30.507398,-97.740802,3580.0,Round Rock ISD,2015-12-21
"14408 Pebble Run PATH, Manor TX 78653",78653,100000,30.367927,-97.520964,2955.0,Manor ISD,2015-12-21
"2909 Saint Paul Rivera, Round Rock TX 78665",78665,400000,30.55744,-97.621493,10701.0,Round Rock ISD,2015-12-15
"508 Pinon CV, Georgetown TX 78628",78628,300000,30.690784,-97.710111,8980.0,Georgetown ISD,2015-12-15
"8329 Angelo LOOP, Round Rock TX 78665",78665,300000,30.545982,-97.598995,9686.0,Hutto ISD,2015-12-17
"8249 Arezzo DR, Round Rock TX 78665",78665,300000,30.545982,-97.598995,10245.0,Hutto ISD,2015-12-17
"105 Linden LN, San Marcos TX 78666",78666,200000,29.820568,-97.93966,5291.0,San Marcos ISD,2015-12-15
"1700 APRICOT GLEN DR, Austin TX 78746",78746,700000,30.264283,-97.802448,15751.0,Eanes ISD,2015-12-17
"361 New Bridge DR, Kyle TX 78640",78640,200000,29.967399,-97.84704,383.0,Hays ISD,2015-12-28
"3313 Raspberry CV, Austin TX 78748",78748,600000,30.175195,-97.851549,12964.0,Austin ISD,2015-12-30
"4301 Valley Oaks DR, Leander TX 78641",78641,400000,30.567241,-97.773424,0.0,Leander ISD,2015-12-30
"10852 Doe Run RD, Lago Vista TX 78645",78645,400000,30.498847,-97.949259,5195.0,Leander ISD,2015-12-28
"101 Hogan Bluff CT, Georgetown TX 78633",78633,400000,30.717434,-97.738803,9013.0,Georgetown ISD,2015-12-23
"27 Long Creek RD, Austin TX 78737",78737,700000,30.212108,-97.983603,12717.0,Dripping Springs ISD,2015-01-20
"10001 Ivalenes Hope DR, Austin TX 78717",78717,400000,30.499547,-97.756104,8392.0,Round Rock ISD,2015-01-20
"127 Running Water ST, Georgetown TX 78633",78633,300000,30.71664,-97.7034,5763.0,Jarrell ISD,2015-01-20
"9904 Michael DL, Austin TX 78736",78736,300000,30.235451,-97.927109,4441.0,Austin ISD,2015-01-22
"10105 Woodland Village DR, Austin TX 78750",78750,200000,30.449325,-97.799124,4508.0,Round Rock ISD,2015-01-22
"2713 Hearthsong LOOP, Round Rock TX 78665",78665,200000,30.552181,-97.627261,3399.0,Round Rock ISD,2015-01-17
"413 Lismore ST, Hutto TX 78634",78634,300000,30.514681,-97.588276,4500.0,Hutto ISD,2015-01-18
"6807 Columbia DR, Austin TX 78723",78723,300000,30.319446,-97.682975,4659.0,Austin ISD,2015-01-22
"404 Trumpet Vine TRL, Cedar Park TX 78613",78613,200000,30.502451,-97.828122,4087.0,Leander ISD,2015-01-22
"102 Skyline DR, Wimberley TX 78676",78676,300000,30.035082,-98.099684,3749.0,Wimberley ISD,2015-01-23
"2200 Plainfield CT, Pflugerville TX 78660",78660,300000,30.48137,-97.577574,7577.0,Pflugerville ISD,2015-01-22
"2605 Barley Field PASS, Pflugerville TX 78660",78660,300000,30.461761,-97.583607,7650.0,Pflugerville ISD,2015-01-22
"112 Painted Bunting LN, Georgetown TX 78633",78633,300000,30.709888,-97.728386,4932.0,Georgetown ISD,2015-01-22
"13900 Marathon RD, Austin TX 78717",78717,200000,30.491763,-97.796723,6641.0,Leander ISD,2015-01-22
"2503 Ben Doran CT, Cedar Park TX 78613",78613,400000,30.46222,-97.855407,8228.0,Leander ISD,2015-02-18
"270 Crooked CRK, Buda TX 78610",78610,300000,30.091032,-97.865696,6595.0,Hays ISD,2015-01-23
"3408 Sophora CT, Round Rock TX 78681",78681,300000,30.53893,-97.73,7668.0,Round Rock ISD,2015-01-23
"8206 Two Coves DR, Austin TX 78730",78730,1000000,30.364865,-97.820349,21236.0,Austin ISD,2015-01-24
"408 Songwood DR, Spicewood TX 78669",78669,100000,30.512991,-98.14483,1393.0,Marble Falls ISD,2015-01-23
"406 Avenue B, Marble Falls TX 78654",78654,100000,30.569833,-98.268924,1674.0,Marble Falls ISD,2015-01-26
"2300 Montague ST, Austin TX 78741",78741,400000,30.219646,-97.698584,9818.0,Del Valle ISD,2015-01-27
"400 Thorndale RD, Taylor TX 76574",76574,50000,30.578617,-97.405905,2322.1,Taylor ISD,2015-04-17
"11409 Hillhaven DR, Austin TX 78748",78748,200000,30.15561,-97.836792,3501.0,Austin ISD,2015-01-29
"3009 Comal SPGS, Canyon Lake TX 78133",78133,500000,29.826527,-98.32565,7921.0,Comal ISD,2015-01-28
"5911 Belfast DR, Austin TX 78723",78723,300000,30.314867,-97.694618,5625.0,Austin ISD,2015-01-27
"1412 Rowan DR, Georgetown TX 78628",78628,300000,30.692043,-97.706692,7558.0,Georgetown ISD,2015-01-27
"1305 Leah LN, Round Rock TX 78665",78665,200000,30.497484,-97.631607,4131.0,Round Rock ISD,2015-01-28
"333 Fort Cobb CSWY, Georgetown TX 78628",78628,300000,30.575936,-97.768811,0.0,Leander ISD,2015-01-28
"307 Blessing Ranch RD, Liberty Hill TX 78642",78642,100000,30.728923,-97.921223,3310.0,Liberty Hill ISD,2015-01-28
"1509 Discovery BLVD, Cedar Park TX 78613",78613,300000,30.530917,-97.822494,5915.0,Leander ISD,2015-01-30
"1122 Terra ST, Round Rock TX 78665",78665,100000,30.555564,-97.671463,3159.0,Round Rock ISD,2015-01-30
"109 Highland Horizon, Austin TX 78717",78717,300000,30.49113,-97.723858,8100.0,Round Rock ISD,2015-02-01
"1409 CEDAR HILLS BLVD, Cedar Park TX 78613",78613,200000,30.525853,-97.85339,4978.0,Leander ISD,2015-02-02
"17913 Basket Flower BND, Elgin TX 78621",78621,200000,30.345037,-97.433701,3995.0,Elgin ISD,2015-02-02
"18413 Dry Brook LOOP, Pflugerville TX 78660",78660,300000,30.452744,-97.575391,7053.0,Pflugerville ISD,2015-01-29
"207 Kerley DR, Hutto TX 78634",78634,200000,30.536563,-97.548559,3864.0,Hutto ISD,2015-02-11
"2403 McCall, Austin TX 78703",78703,1000000,30.29379,-97.763421,20000.0,Austin ISD,2015-01-30
"21903 Plockton DR, Spicewood TX 78669",78669,300000,30.398299,-98.048152,1029.0,Lake Travis ISD,2015-01-30
"294 Texas Oak DR, Cedar Creek TX 78612",78612,100000,30.027908,-97.550692,691.0,Bastrop ISD,2015-01-31
"8305 Fern Bluff AVE, Round Rock TX 78681",78681,300000,30.522416,-97.721911,7501.0,Round Rock ISD,2015-02-02
"3901 Tattershall LN, Austin TX 78727",78727,200000,30.417231,-97.720656,4273.0,Austin ISD,2015-02-04
"2105 Monticello CT, Round Rock TX 78665",78665,300000,30.578383,-97.653738,9812.0,Round Rock ISD,2015-02-05
"4416 Zacharys RUN, Cedar Park TX 78613",78613,400000,30.525809,-97.756125,8644.0,Round Rock ISD,2015-02-12
"8404 Carranzo DR, Austin TX 78735",78735,2000000,30.272594,-97.87643,16554.0,Austin ISD,2015-02-10
"12091 Fm 2657, Kempner TX 76539",76539,400000,31.015782,-97.915959,5929.0,Lampasas ISD,2015-02-05
"2000 Mistywood DR, Austin TX 78746",78746,600000,30.26373,-97.806455,11915.0,Eanes ISD,2015-02-06
"18144 Basket Flower BND, Elgin TX 78621",78621,100000,30.347384,-97.429719,3928.0,Elgin ISD,2015-02-06
"8831 Mountain Path CIR, Austin TX 78759",78759,500000,30.385264,-97.755669,9194.0,Austin ISD,2015-02-09
"4407 Magin Meadow DR, Austin TX 78744",78744,100000,30.179025,-97.759678,1538.0,Austin ISD,2015-02-06
"106 The Hills DR, Austin TX 78738",78738,500000,30.339718,-97.979731,11482.0,Lake Travis ISD,2015-02-06
"9 Rambling Creek CIR, Wimberley TX 78676",78676,200000,30.02703,-98.129468,2465.0,Wimberley ISD,2015-02-06
"2524 Crenshaw DR, Round Rock TX 78664",78664,300000,30.515791,-97.60283,6753.0,Round Rock ISD,2015-02-10
"1711 Gold Splash, Harker Heights TX 76548",76548,300000,31.048022,-97.637211,0.0,Killeen ISD,2015-02-09
"203 Antigua WAY, Austin TX 78738",78738,500000,30.352373,-97.999529,3078.0,Lake Travis ISD,2015-02-11
"201 Antigua WAY, Austin TX 78738",78738,400000,30.352217,-97.999617,3078.0,Lake Travis ISD,2015-02-11
"1002 Taffy CT, Austin TX 78704",78704,600000,30.234313,-97.771243,6142.0,Austin ISD,2015-02-13
"12605 Waynespur LN, Elgin TX 78621",78621,100000,30.342889,-97.436146,3602.0,Elgin ISD,2015-02-12
"2008 Peoples ST, Austin TX 78702",78702,300000,30.267971,-97.717995,3664.0,Austin ISD,2015-02-11
"2909 Corbin LN, Austin TX 78704",78704,400000,30.238622,-97.772188,8297.0,Austin ISD,2015-02-28
"2217 Voyageurs LN, Austin TX 78747",78747,300000,30.152722,-97.784297,5869.0,Austin ISD,2015-02-10
"1807 Valle Verde DR, Leander TX 78641",78641,400000,30.548071,-97.784183,9741.0,Leander ISD,2015-02-09
"100 Hidden Bear RD, Liberty Hill TX 78642",78642,400000,30.715948,-97.916586,6039.67,Liberty Hill ISD,2015-02-21
"2203 Colinas Verdas RD, Leander TX 78641",78641,300000,30.550462,-97.789939,8988.0,Leander ISD,2015-02-09
"3703 Tekoa CV, Austin TX 78746",78746,2000000,30.325947,-97.783992,18923.0,Eanes ISD,2015-02-11
"9616 Beechnut, Austin TX 78748",78748,200000,30.175271,-97.818964,4828.0,Austin ISD,2015-02-11
"705 Champions DR, Georgetown TX 78628",78628,600000,30.699155,-97.690417,10491.0,Georgetown ISD,2015-02-13
"5136 Bluestar, Austin TX 78739",78739,400000,30.192758,-97.870169,7455.0,Austin ISD,2015-02-15
"3451 Mayfield Ranch BLVD # 314, Round Rock TX 78681",78681,300000,30.551804,-97.740583,4599.0,Round Rock ISD,2015-02-15
