permit_type,permit_type_desc,permit_num,permit_class_mapped,permit_class,work_class,condominium,project_name,description,property_legal_description,applied_date,issued_date,day_issued,calendar_year_issued,fiscal_year_issued,issuance_method,status_current,status_date,expires_date,completed_date,original_address_1,original_city,original_state,original_zip,latitude,longitude,location
MP,Mechanical Permit,2008-092947 MP,Residential,Residential,Change Out,No,3109 LAFAYETTE AVE,Replacing HVAC to existing residence only,LOT 3 BLK 3 OLT 2831 DIV C LAFAYETTE HEIGHTS,12/1/08,8/14/15,FRIDAY,2015,2015,Permit Center,Final,8/14/15,8/14/15,8/14/15,3109 LAFAYETTE AVE,EAST AUSTIN,TX,78722,30.28768826,-97.71977569,"(30.28768826, -97.71977569)"
EP,Electrical Permit,2008-093276 EP,Commercial,Renovations/Remodel,Remodel,No,3008 GONZALES ST UNIT 300,Interior Remodel to existing Food Production to install WalkIn Cooler,LOT 26 BLK 1 LOT 13 BLK 2 OLT 27 DIV A BRASS G M SUBD PLUS 12 VAC ALLEY  STREET,11/17/08,2/1/16,MONDAY,2016,2016,Permit Center,Final,2/16/16,2/16/16,2/16/16,3008 GONZALES ST UNIT 300,EAST AUSTIN,TX,78702,30.25973035,-97.70696914,"(30.25973035, -97.70696914)"
EP,Electrical Permit,2009-028771 EP,Commercial,Sign Permit,Freestanding,No,1214 E 7TH ST,Freestanding sign Los Abogados Gueros 4'8OAH,W 492FT OF LOT 8 BLK 2 OLT 23 DIV B ROBERTSON GEO L SUBD,4/6/09,4/12/17,WEDNESDAY,2017,2017,Permit Center,Final,4/21/17,4/21/17,4/21/17,1214 E 7TH ST,EAST AUSTIN,TX,78702,30.26540774,-97.72923465,"(30.26540774, -97.72923465)"
PP,Plumbing Permit,2009-046868 PP,Residential,Residential,Irrigation,No,1305 NORWOOD RD,install irrigation system to existing residence,LOT 18 BLK I DELWOOD SEC 2,5/12/09,4/14/16,THURSDAY,2016,2016,Permit Center,Active,4/14/16,10/11/16,6/8/09,1305 NORWOOD RD,EAST AUSTIN,TX,78722,30.30293512,-97.71070003,"(30.30293512, -97.71070003)"
PP,Plumbing Permit,2009-049045 PP,Residential,Residential,Remodel,No,4603 OAK CLIFF DR,replace existing sewer line to residence,LOT 2 BLK B OAK LAWN SEC 1,5/18/09,9/18/15,FRIDAY,2015,2015,Permit Center,Final,9/18/15,9/18/15,9/18/15,4603 OAK CLIFF DR,EAST AUSTIN,TX,78721,30.284461600000004,-97.68305726,"(30.2844616, -97.68305726)"
MP,Mechanical Permit,2009-066377 MP,Residential,Renovations/Remodel,Remodel,No,2011 E 2ND ST,remodel existing bedroom to create two bathrooms MEP permits required 3 total bathrooms  58 meter,LOT 12 BLK 2 OLT 2324 DIV O FAIR GROUNDS ADDN,6/23/09,2/24/16,WEDNESDAY,2016,2016,Permit Center,Final,3/4/16,3/4/16,3/4/16,2011 E 2ND ST,EAST AUSTIN,TX,78702,30.25719845,-97.72250192,"(30.25719845, -97.72250192)"
PP,Plumbing Permit,2009-074135 PP,Residential,Renovations/Remodel,Addition,No,2011 E 2ND ST,Partial demo of rear wall to accommodate addition Addition to expand kitchen MEP permits required,LOT 12 BLK 2 OLT 2324 DIV O FAIR GROUNDS ADDN,6/29/09,3/2/16,WEDNESDAY,2016,2016,Online,Final,3/4/16,3/4/16,3/4/16,2011 E 2ND ST,EAST AUSTIN,TX,78702,30.25719845,-97.72250192,"(30.25719845, -97.72250192)"
EP,Electrical Permit,2009-097250 EP,Residential,Renovations/Remodel,Remodel,No,907 MILL ST,Remodel interior of dwelling  Bring to minimum standards for mechanical electrical plumbing and framing  New roofing and new siding are part of this workscope as well,S 6521 OF LOT 1 BLK 17 GRANDVIEW PLACE,8/28/09,8/4/16,THURSDAY,2016,2016,Permit Center,Final,7/14/20,7/14/20,7/14/20,907 MILL ST,EAST AUSTIN,TX,78702,30.26409206,-97.71851658,"(30.26409206, -97.71851658)"
MP,Mechanical Permit,2009-097250 MP,Residential,Renovations/Remodel,Remodel,No,907 MILL ST,Remodel interior of dwelling  Bring to minimum standards for mechanical electrical plumbing and framing  New roofing and new siding are part of this workscope as well,S 6521 OF LOT 1 BLK 17 GRANDVIEW PLACE,8/28/09,7/12/18,THURSDAY,2018,2018,Permit Center,Final,7/15/20,7/15/20,7/15/20,907 MILL ST,EAST AUSTIN,TX,78702,30.26409206,-97.71851658,"(30.26409206, -97.71851658)"
PP,Plumbing Permit,2009-097250 PP,Residential,Renovations/Remodel,Remodel,No,907 MILL ST,Remodel interior of dwelling  Bring to minimum standards for mechanical electrical plumbing and framing  New roofing and new siding are part of this workscope as well,S 6521 OF LOT 1 BLK 17 GRANDVIEW PLACE,8/28/09,10/21/15,WEDNESDAY,2015,2016,Permit Center,Final,7/15/20,7/15/20,7/15/20,907 MILL ST,EAST AUSTIN,TX,78702,30.26409206,-97.71851658,"(30.26409206, -97.71851658)"
EP,Electrical Permit,2010-039693 EP,Residential,Residential,Remodel,No,2712 WILLOW ST,Install new HVAC to exsitng resid only,LOT 10 BLK A OLT 42 DIV O WILLIAMS FELIX SUBD,5/7/10,4/5/17,WEDNESDAY,2017,2017,Permit Center,Final,6/21/17,6/21/17,6/21/17,2712 WILLOW ST,EAST AUSTIN,TX,78702,30.25247495,-97.71328395,"(30.25247495, -97.71328395)"
PP,Plumbing Permit,2010-093687 PP,Residential,Renovations/Remodel,Remodel,No,1226 DELANO ST,relocate sf residence with covered porch from 702 W Live Oak to 1226 Delano St,LOT 18 BLK 3 LINCOLN GARDENS NO 1,10/28/10,6/3/16,FRIDAY,2016,2016,Permit Center,Final,6/6/16,6/6/16,6/6/16,1226 DELANO ST,EAST AUSTIN,TX,78721,30.27518939,-97.67890403,"(30.27518939, -97.67890403)"
EP,Electrical Permit,2011-021253 EP,Commercial,Renovations/Remodel,Repair,No,1133 POQUITO ST,Exterior  Interior repair to damaged MultiFamily Res AptsReplace expired permit BP10073765,LOT 16 OLT 62 DIV B CHERNOSKY NO 6,3/10/11,6/26/15,FRIDAY,2015,2015,Permit Center,Final,7/2/15,7/2/15,7/2/15,1133 POQUITO ST,EAST AUSTIN,TX,78702,30.26775604,-97.71692496,"(30.26775604, -97.71692496)"
MP,Mechanical Permit,2011-021253 MP,Commercial,Renovations/Remodel,Repair,No,1133 POQUITO ST,Exterior  Interior repair to damaged MultiFamily Res AptsReplace expired permit BP10073765,LOT 16 OLT 62 DIV B CHERNOSKY NO 6,3/10/11,6/22/15,MONDAY,2015,2015,Permit Center,Final,7/14/15,7/14/15,7/14/15,1133 POQUITO ST,EAST AUSTIN,TX,78702,30.26775604,-97.71692496,"(30.26775604, -97.71692496)"
PP,Plumbing Permit,2011-021253 PP,Commercial,Renovations/Remodel,Repair,No,1133 POQUITO ST,Exterior  Interior repair to damaged MultiFamily Res AptsReplace expired permit BP10073765Testing gas lines,LOT 16 OLT 62 DIV B CHERNOSKY NO 6,3/10/11,5/29/15,FRIDAY,2015,2015,Permit Center,Final,7/10/15,7/10/15,7/10/15,1133 POQUITO ST,EAST AUSTIN,TX,78702,30.26775604,-97.71692496,"(30.26775604, -97.71692496)"
EP,Electrical Permit,2011-026097 EP,Residential,Renovations/Remodel,Remodel,No,1108 OMEGA AVE,full interior and exterior remodel of sfres upon finalization of move from outside of city 2011 013952  windows doors roof repair as needed interior and exterior wall and siding work new plumbing elct and hvac  FULL remodel,LOT 13 BLK 1 MOORE D C ADDN,2/24/11,10/29/15,THURSDAY,2015,2016,Permit Center,Final,10/21/16,10/21/16,10/21/16,1108 OMEGA AVE,EAST AUSTIN,TX,78721,30.26832258,-97.68240082,"(30.26832258, -97.68240082)"
MP,Mechanical Permit,2011-026097 MP,Residential,Renovations/Remodel,Remodel,No,1108 OMEGA AVE,full interior and exterior remodel of sfres upon finalization of move from outside of city 2011 013952  windows doors roof repair as needed interior and exterior wall and siding work new plumbing elct and hvac  FULL remodel,LOT 13 BLK 1 MOORE D C ADDN,2/24/11,8/25/16,THURSDAY,2016,2016,Permit Center,Final,11/21/16,11/21/16,11/21/16,1108 OMEGA AVE,EAST AUSTIN,TX,78721,30.26832258,-97.68240082,"(30.26832258, -97.68240082)"
PP,Plumbing Permit,2011-026097 PP,Residential,Renovations/Remodel,Remodel,No,1108 OMEGA AVE,full interior and exterior remodel of sfres upon finalization of move from outside of city 2011 013952  windows doors roof repair as needed interior and exterior wall and siding work new plumbing elct and hvac  FULL remodel,LOT 13 BLK 1 MOORE D C ADDN,2/24/11,7/5/16,TUESDAY,2016,2016,Permit Center,Final,11/4/16,11/4/16,11/4/16,1108 OMEGA AVE,EAST AUSTIN,TX,78721,30.26832258,-97.68240082,"(30.26832258, -97.68240082)"
PP,Plumbing Permit,2011-107259 PP,Residential,Residential,New,No,34 CHICON ST,Repermit for Expired Permit   2011  001737 BPEPPP new 2 story accessory dwelling unit to rear of property see expired permit 08042372bp New secondary apartment Reactivation of Plumbing permit required,LOT 26 OLT 67 DIV O TOWNE LAKE ADDN,2/17/16,6/30/16,THURSDAY,2016,2016,Permit Center,Final,9/29/16,9/29/16,9/29/16,34 CHICON ST,EAST AUSTIN,TX,78702,30.25115589,-97.72763269,"(30.25115589, -97.72763269)"
EP,Electrical Permit,2011-113575 EP,Commercial,Renovations/Remodel,Addition and Remodel,No,300 ALLEN ST,Change of Use from Art StudioDwelling Unit to SHELL Convenience Storage Bldgs A B  C with Accessory AdmnBus Office  2nd Floor Addition Bldg A and Exterior Remodel  new parapet rated exterior walls roof improvements,LOT 56 BLK B OLT 15 DIV O JOSEPH BROTHERS SUBD,10/20/11,1/4/18,THURSDAY,2018,2018,Permit Center,Final,1/9/18,1/9/18,1/9/18,300 ALLEN ST,EAST AUSTIN,TX,78702,30.25307883,-97.70651011,"(30.25307883, -97.70651011)"
PP,Plumbing Permit,2011-113575 PP,Commercial,Renovations/Remodel,Addition and Remodel,No,300 ALLEN ST,Change of Use from Art StudioDwelling Unit to SHELL Convenience Storage Bldgs A B  C with Accessory AdmnBus Office  2nd Floor Addition Bldg A and Exterior Remodel  new parapet rated exterior walls roof improvements,LOT 56 BLK B OLT 15 DIV O JOSEPH BROTHERS SUBD,10/20/11,1/4/18,THURSDAY,2018,2018,Permit Center,Final,1/11/18,1/11/18,1/11/18,300 ALLEN ST,EAST AUSTIN,TX,78702,30.25307883,-97.70651011,"(30.25307883, -97.70651011)"
EP,Electrical Permit,2011-113579 EP,Commercial,Renovations/Remodel,Remodel,No,300 ALLEN ST UNIT A,Interior Remodel for Convenience Storage AdmnBus Office 2nd floor officebathroom Exit Stair attic wall demo,LOT 56 BLK B OLT 15 DIV O JOSEPH BROTHERS SUBD,10/20/11,3/25/15,WEDNESDAY,2015,2015,Permit Center,Final,6/11/15,6/11/15,6/11/15,300 ALLEN ST UNIT A,EAST AUSTIN,TX,78702,30.25307883,-97.70651011,"(30.25307883, -97.70651011)"
EP,Electrical Permit,2011-113584 EP,Commercial,Renovations/Remodel,Remodel,No,300 ALLEN ST,Interior Remodel for Convenience Storage,LOT 56 BLK B OLT 15 DIV O JOSEPH BROTHERS SUBD,10/20/11,3/13/15,FRIDAY,2015,2015,Permit Center,Final,6/11/15,6/11/15,6/11/15,300 ALLEN ST,EAST AUSTIN,TX,78702,30.25307883,-97.70651011,"(30.25307883, -97.70651011)"
PP,Plumbing Permit,2012-061269 PP,Residential,Renovations/Remodel,Remodel,No,1903 WILLOW ST UNIT B,convert existing detached storage for a secondary apt,LOT 7 BLK P OLT 3738 DIV O DRIVING PARK ADDN,6/21/11,2/20/15,FRIDAY,2015,2015,Permit Center,Final,12/13/16,12/13/16,12/13/16,1903 WILLOW ST UNIT B,EAST AUSTIN,TX,78702,30.25593978,-97.72484552,"(30.25593978, -97.72484552)"
MP,Mechanical Permit,2013-013868 MP,Commercial,Commercial,Remodel,No,1148 AIRPORT BLVD,change out 7 cooler cases like for liketo existing commercial store City Market,ACR 9717 OF LOT 1 EASTLAND PLAZA ACR 315 VAC ROW,2/12/13,12/23/15,WEDNESDAY,2015,2016,Permit Center,Final,4/25/16,4/25/16,4/25/16,1148 AIRPORT BLVD,EAST AUSTIN,TX,78702,30.27288397,-97.69859762,"(30.27288397, -97.69859762)"
MP,Mechanical Permit,2013-048305 MP,Residential,Renovations/Remodel,Addition and Remodel,No,2614 CANTERBURY ST,Partial demoaddition to the back side of the existing residence The addition will consist of a 3story structure that houses 3 bed2ba and a screen porch APPROVED BY ARCH COC PROGRAM,LOT 9 BLK 5 OLT 4142 OLT 53 DIV O RIVERVIEW ADDN,5/1/13,4/21/15,TUESDAY,2015,2015,Online,Final,7/28/20,7/28/20,7/28/20,2614 CANTERBURY ST,EAST AUSTIN,TX,78702,30.25186687,-97.71502068,"(30.25186687, -97.71502068)"
EP,Electrical Permit,2013-048972 EP,Residential,Renovations/Remodel,Addition and Remodel,No,2614 CANTERBURY ST,Electrician will pull permit for MeterPartial demoaddition to the back side of the existing residence The addition will consist of a 3story structure that houses 3 bed2ba and a screen porch APPROVED BY ARCH COC PROGRAM,LOT 9 BLK 5 OLT 4142 OLT 53 DIV O RIVERVIEW ADDN,5/1/13,5/21/15,THURSDAY,2015,2015,Permit Center,Final,4/11/19,4/11/19,4/11/19,2614 CANTERBURY ST,EAST AUSTIN,TX,78702,30.25186687,-97.71502068,"(30.25186687, -97.71502068)"
MP,Mechanical Permit,2013-051336 MP,Residential,Single Family Houses,New,No,1218 HOLLY ST,New twostory single family residence with 4 bedrooms and 2 bathrooms,S60 FT OF LOT 17 OLT 45 DIV O WENDLANDT  STAEHELY RESUB,3/6/13,11/21/16,MONDAY,2016,2017,Permit Center,Final,1/17/17,1/17/17,1/17/17,1218 HOLLY ST,EAST AUSTIN,TX,78702,30.25601032,-97.73277979999999,"(30.25601032, -97.7327798)"
PP,Plumbing Permit,2013-051336 PP,Residential,Single Family Houses,New,No,1218 HOLLY ST,New twostory single family residence with 4 bedrooms and 2 bathrooms,S60 FT OF LOT 17 OLT 45 DIV O WENDLANDT  STAEHELY RESUB,3/6/13,11/21/16,MONDAY,2016,2017,Permit Center,Final,2/1/17,2/1/17,2/1/17,1218 HOLLY ST,EAST AUSTIN,TX,78702,30.25601032,-97.73277979999999,"(30.25601032, -97.7327798)"
MP,Mechanical Permit,2013-106433 MP,Residential,Residential,Change Out,No,1129 POQUITO ST,Change out HVACto existing residence,LOT 19 OLT 62 DIV B CHERNOSKY NO 6,10/10/13,10/30/18,TUESDAY,2018,2019,Permit Center,Final,1/7/19,1/7/19,1/7/19,1129 POQUITO ST,EAST AUSTIN,TX,78702,30.26735882,-97.71673294,"(30.26735882, -97.71673294)"
EP,Electrical Permit,2013-109918 EP,Commercial,C- 106 Mixed Use,New,No,1410 E 6TH ST,New Construction Mixed Use 1627sf First Floor  Restaurant,LOT 8 BLK 1 OLT 4 DIVISION A,11/29/12,7/16/15,THURSDAY,2015,2015,Permit Center,Final,2/10/16,2/10/16,2/10/16,1410 E 6TH ST,EAST AUSTIN,TX,78702,30.26363132,-97.72776174,"(30.26363132, -97.72776174)"
PP,Plumbing Permit,2013-124285 PP,Residential,Residential,Remodel,No,1144 1/2 GUNTER ST,Total demo of home  Circa 1940 Cap off water and waste water,LOT 3 SOUTH ACRE RESUB OF LOT A,11/1/13,2/5/16,FRIDAY,2016,2016,Permit Center,Final,2/12/16,2/12/16,2/12/16,1144 1/2 GUNTER ST,EAST AUSTIN,TX,78721,30.27204093,-97.69585437,"(30.27204093, -97.69585437)"
EP,Electrical Permit,2013-124315 EP,Residential,Renovations/Remodel,Remodel,No,1129 DON ANN ST,Rewiring kitchen living room area new lighting floors cabinets Also upgrading the electrical service,LOT 6 BLK C DONNA GARDENS SUBD,11/27/13,3/13/15,FRIDAY,2015,2015,Permit Center,Final,12/5/16,12/5/16,12/5/16,1129 DON ANN ST,EAST AUSTIN,TX,78721,30.26801119,-97.69009313,"(30.26801119, -97.69009313)"
EP,Electrical Permit,2014-006309 EP,Residential,Renovations/Remodel,Repair,No,3009 E 17TH ST,Repair roof  rafter and shingles  Upgrade electrical and plumbing  Replace hotwater tank  Additional electrical panel to service kitchen and adjacent bathrooms  Floor plan will remain the same,LOT 5 BLK 2 OLT 27 DIV B MCKINLEY HEIGHTS NO 3,10/5/15,7/19/16,TUESDAY,2016,2016,Permit Center,Final,7/20/16,7/20/16,7/20/16,3009 E 17TH ST,EAST AUSTIN,TX,78702,30.27995789,-97.70435581,"(30.27995789, -97.70435581)"
EP,Electrical Permit,2014-009175 EP,Residential,Renovations/Remodel,Addition and Remodel,No,2012 E 16TH ST,Converting 560 sf second floor of existing garage into garage apartment per C1520130065,LOT 6 BLK 4 OLT 35 DIV B CROWS SUBD,9/6/13,3/13/15,FRIDAY,2015,2015,Permit Center,Final,10/11/16,10/11/16,10/11/16,2012 E 16TH ST,EAST AUSTIN,TX,78702,30.27733017,-97.71841466,"(30.27733017, -97.71841466)"
MP,Mechanical Permit,2014-009175 MP,Residential,Renovations/Remodel,Addition and Remodel,No,2012 E 16TH ST,Converting 560 sf second floor of existing garage into garage apartment per C1520130065,LOT 6 BLK 4 OLT 35 DIV B CROWS SUBD,9/6/13,6/8/15,MONDAY,2015,2015,Permit Center,Final,11/18/16,11/18/16,11/18/16,2012 E 16TH ST,EAST AUSTIN,TX,78702,30.27733017,-97.71841466,"(30.27733017, -97.71841466)"
PP,Plumbing Permit,2014-009175 PP,Residential,Renovations/Remodel,Addition and Remodel,No,2012 E 16TH ST,Converting 560 sf second floor of existing garage into garage apartment per C1520130065,LOT 6 BLK 4 OLT 35 DIV B CROWS SUBD,9/6/13,4/1/15,WEDNESDAY,2015,2015,Permit Center,Final,11/18/16,11/18/16,11/18/16,2012 E 16TH ST,EAST AUSTIN,TX,78702,30.27733017,-97.71841466,"(30.27733017, -97.71841466)"
MP,Mechanical Permit,2014-012969 MP,Residential,Apartments,New,No,4603 LYONS RD,New construction of a 2story duplex  Each unit will have 2 bedrooms  25 bathrooms  Parking will be provided via an attached carport and the driveway,LOT 1 LESS W 10FT  LOT 2 GULLETT GARDENS NO 2,7/31/13,3/3/15,TUESDAY,2015,2015,Permit Center,Final,8/24/15,8/24/15,8/24/15,4603 LYONS RD,EAST AUSTIN,TX,78702,30.26017267,-97.69864034,"(30.26017267, -97.69864034)"
MP,Mechanical Permit,2014-013147 MP,Residential,Residential,New,No,1707 GARDEN ST,New construction of a twostory secondary apartment per LDC 2521463 having 2 bedrooms and 2 bathroom with attached carport and roof deck above the carport,LOT 4 BLK 8 OLT 48 DIV O POPES RESUB,8/2/13,1/26/16,TUESDAY,2016,2016,Online,Final,8/25/16,8/25/16,8/25/16,1707 GARDEN ST,EAST AUSTIN,TX,78702,30.25463199,-97.72734563,"(30.25463199, -97.72734563)"
MP,Mechanical Permit,2014-015366 MP,Residential,Single Family Houses,New,No,2813 CREST AVE,New 2story singlefamily residence attached carport covered porch and patio,LOT 27 BLK D OLT 14 DIV B HOMEWOOD HEIGHTS,12/13/13,1/6/15,TUESDAY,2015,2015,Permit Center,Final,6/12/15,6/12/15,6/12/15,2813 CREST AVE,EAST AUSTIN,TX,78702,30.27374986,-97.70232259999999,"(30.27374986, -97.7023226)"
EP,Electrical Permit,2014-019548 EP,Residential,Residential,New,No,2101 RIVERVIEW ST,New detached garage 2 curb cuts will be infilled 1 on Riverview St 1 on Anthony St,N 736FT OF LOT 1 BLK 3 OLT 66 DIV O BERGMAN VALLEY VIEW,9/4/13,2/18/15,WEDNESDAY,2015,2015,Permit Center,Final,3/6/15,3/6/15,3/6/15,2101 RIVERVIEW ST,EAST AUSTIN,TX,78702,30.25053842,-97.72445605,"(30.25053842, -97.72445605)"
MP,Mechanical Permit,2014-020360 MP,Residential,Single Family Houses,New,No,5210 DELORES AVE,New sf res 3 bedrms 25 bathrms kitchen livingdining laundry covered deck covered porch 1 car garage,LOT 25 BLK 5 MASONFIELD,12/23/13,1/27/15,TUESDAY,2015,2015,Permit Center,Final,9/4/15,9/4/15,9/4/15,5210 DELORES AVE,EAST AUSTIN,TX,78721,30.27379776,-97.68236138,"(30.27379776, -97.68236138)"
MP,Mechanical Permit,2014-031707 MP,Commercial,Renovations/Remodel,Remodel,No,2505 E 6TH ST,Change of Use and Interior Remodel from Light Manufacturing to Art Workshop Common Area Bathroom,LOT 15712 OLT 11 DIV A MORSLAND PLACE,12/5/13,2/18/15,WEDNESDAY,2015,2015,Permit Center,Final,8/21/15,8/21/15,8/21/15,2505 E 6TH ST,EAST AUSTIN,TX,78702,30.258611,-97.71422632,"(30.258611, -97.71422632)"
EP,Electrical Permit,2014-031986 EP,Commercial,Renovations/Remodel,Remodel,No,2511 E 6TH ST UNIT D,Change of Use and Interior Remodel from Custom Manufacturing to Art Workshop,LOT 15712 OLT 11 DIV A MORSLAND PLACE,12/5/13,7/22/15,WEDNESDAY,2015,2015,Permit Center,Final,10/13/15,10/13/15,10/13/15,2511 E 6TH ST UNIT D,EAST AUSTIN,TX,78702,30.2584067,-97.71378515,"(30.2584067, -97.71378515)"
EP,Electrical Permit,2014-031982 EP,Commercial,Renovations/Remodel,Remodel,No,2511 E 6TH ST,Change of Use and Interior Remodel from Custom Manufacturing to Art Workshop to create Common Bathrooms,LOT 15712 OLT 11 DIV A MORSLAND PLACE,12/5/13,7/22/15,WEDNESDAY,2015,2015,Permit Center,Final,10/12/15,10/12/15,10/12/15,2511 E 6TH ST,EAST AUSTIN,TX,78702,30.2584067,-97.71378515,"(30.2584067, -97.71378515)"
