Element Name,Description
CB00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, African American Mathematics Rate"
CA00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students Mathematics Rate"
CI00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, American Indian Mathematics Rate"
C300AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Asian Mathematics Rate"
CR00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, At Risk Mathematics Rate"
CL00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, ELL Mathematics Rate"
CE00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Econ Disadv Mathematics Rate"
CF00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Female Mathematics Rate"
CH00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Hispanic Mathematics Rate"
CM00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Male Mathematics Rate"
C400AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Pacific Islander Mathematics Rate"
CS00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Special Ed Mathematics Rate"
C200AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Two or More Races Mathematics Rate"
CW00AM01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, White Mathematics Rate"
CB00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, African American Writing Rate"
CA00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students Writing Rate"
CI00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, American Indian Writing Rate"
C300AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Asian Writing Rate"
CR00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, At Risk Writing Rate"
CL00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, ELL Writing Rate"
CE00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Econ Disadv Writing Rate"
CF00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Female Writing Rate"
CH00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Hispanic Writing Rate"
CM00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Male Writing Rate"
C400AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Pacific Islander Writing Rate"
CS00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Special Ed Writing Rate"
C200AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Two or More Races Writing Rate"
CW00AW01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, White Writing Rate"
CB00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, African American Science Rate"
CA00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students Science Rate"
CI00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, American Indian Science Rate"
C300AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Asian Science Rate"
CR00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, At Risk Science Rate"
CL00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, ELL Science Rate"
CE00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Econ Disadv Science Rate"
CF00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Female Science Rate"
CH00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Hispanic Science Rate"
CM00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Male Science Rate"
C400AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Pacific Islander Science Rate"
CS00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Special Ed Science Rate"
C200AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Two or More Races Science Rate"
CW00AC01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, White Science Rate"
CB00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, African American Social Studies Rate"
CA00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, All Students Social Studies Rate"
CI00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, American Indian Social Studies Rate"
C300AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Asian Social Studies Rate"
CR00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, At Risk Social Studies Rate"
CL00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, ELL Social Studies Rate"
CE00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Econ Disadv Social Studies Rate"
CF00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Female Social Studies Rate"
CH00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Hispanic Social Studies Rate"
CM00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Male Social Studies Rate"
C400AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Pacific Islander Social Studies Rate"
CS00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Special Ed Social Studies Rate"
C200AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, Two or More Races Social Studies Rate"
CW00AS01S15R,"Campus 2015 Index 1: Index 1 (Phase1 Level2 & PM_ELL), Summed Grades 3-11, White Social Studies Rate"
